"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20240424","2023","Government","Thousands of Jobs","567.542",
"20240424","2024","Total","Thousands of Jobs","4,741.647",
"20240424","2024","Private","Thousands of Jobs","4,169.739",
"20240424","2024","Financial Activities","Thousands of Jobs","506.319",
"20240424","2024","Securities","Thousands of Jobs","199.337",
"20240424","2024","Professional & Business Services","Thousands of Jobs","808.637",
"20240424","2024","Information","Thousands of Jobs","227.591",
"20240424","2024","Education","Thousands of Jobs","258.874",
"20240424","2024","Health & Social Services","Thousands of Jobs","953.051",
"20240424","2024","Leisure & Hospitality","Thousands of Jobs","449.148",
"20240424","2024","Wholesale & Retail Trade","Thousands of Jobs","437.965",
"20240424","2024","Transportation & Utilities","Thousands of Jobs","149.129",
"20240424","2024","Construction","Thousands of Jobs","141.861",
"20240424","2024","Manufacturing","Thousands of Jobs","56.174",
"20240424","2024","Other Services","Thousands of Jobs","185.114",
"20240424","2024","Government","Thousands of Jobs","571.908",
"20240424","2025","Total","Thousands of Jobs","4,816.35",
"20240424","2025","Private","Thousands of Jobs","4,243.192",
"20240424","2025","Financial Activities","Thousands of Jobs","512.584",
"20240424","2025","Securities","Thousands of Jobs","202.464",
"20240424","2025","Professional & Business Services","Thousands of Jobs","830.11",
"20240424","2025","Information","Thousands of Jobs","232.67",
"20240424","2025","Education","Thousands of Jobs","263.394",
"20240424","2025","Health & Social Services","Thousands of Jobs","965.99",
"20240424","2025","Leisure & Hospitality","Thousands of Jobs","466.217",
"20240424","2025","Wholesale & Retail Trade","Thousands of Jobs","440.108",
"20240424","2025","Transportation & Utilities","Thousands of Jobs","150.746",
"20240424","2025","Construction","Thousands of Jobs","145.119",
"20240424","2025","Manufacturing","Thousands of Jobs","53.337",
"20240424","2025","Other Services","Thousands of Jobs","187.07",
"20240424","2025","Government","Thousands of Jobs","573.158",
"20250116","2023","Total","Thousands of Jobs","4,670.333",
"20250116","2023","Private","Thousands of Jobs","4,102.792",
